258,194,4,1
259,195,5,2
260,196,6,3
261,196,7,3
262,196,8,3
263,196,9,3
264,196,10,3
265,197,11,4
266,197,12,4
267,198,13,5
268,198,14,5
269,198,11,4
270,199,11,4
271,199,11,3
271,200,10,4
272,200,10,4
272,201,9,5
272,202,8,6
273,202,8,5
273,203,7,6
274,203,7,5
274,204,6,6
275,204,6,6
275,205,5,6
275,206,4,7
275,207,4,7
276,207,4,7
276,208,4,7
276,209,4,7
277,210,4,8
278,211,5,8
278,212,4,9
278,213,4,9
278,214,3,10
279,214,4,9
279,215,4,9
279,216,4,9
279,217,3,10
279,218,3,10
278,218,2,9
278,219,1,9
278,220,0,9
278,221,0,9
277,221,-1,8
277,222,-1,8
277,223,-2,9
276,223,-3,8
275,223,-4,7
275,224,-4,7
274,224,-5,6
274,225,-4,7
274,226,-4,7
273,227,-5,7
273,228,-5,7
272,228,-5,7
272,229,-5,7
271,230,-6,7
271,231,-5,8
271,232,-4,9
270,233,-5,9
270,234,-4,10
269,235,-5,10
269,236,-5,10
269,237,-4,10
268,238,-5,10
267,239,-5,11
267,240,-5,11
267,241,-4,11
267,242,-4,11
267,243,-4,11
267,244,-3,11
267,245,-3,11
267,246,-2,11
267,247,-2,11
268,248,-1,11
269,249,1,11
269,250,2,11
270,250,3,10
271,251,4,10
271,252,4,10
272,253,5,10
272,254,5,10
272,255,5,10
273,255,6,9
273,256,6,9
274,257,6,9
274,258,5,9
275,259,6,9
275,260,5,10
276,261,5,10
277,263,6,11
278,264,6,11
279,265,7,11
280,266,8,11
281,266,8,11
282,267,9,11
283,267,9,10
284,268,10,10
285,268,10,9
286,269,11,9
287,269,11,8
288,269,11,6
289,269,11,5
290,269,11,4
291,270,11,4
292,270,11,4
294,270,12,3
295,271,12,4
296,271,12,3
297,271,12,3
298,272,12,3
300,273,13,4
301,273,13,4
302,273,13,4
303,274,13,5
304,274,13,4
305,275,13,5
306,276,12,6
307,277,12,6
308,278,12,7
308,279,11,8
308,280,10,8
309,281,9,8
309,282,8,9
309,284,7,11
310,286,7,12
310,287,6,13
310,288,5,13
310,289,4,13
310,290,3,13
310,292,2,14
310,293,2,14
311,294,3,14
311,295,2,14
311,296,2,14
311,297,2,13
311,298,1,12
311,300,1,13
312,301,2,13
312,302,2,13
312,303,2,13
313,304,3,12
313,305,3,12
313,306,2,12
313,307,2,12
313,308,2,12
314,309,3,12
314,310,3,12
315,311,4,11
316,313,4,12
316,314,4,12
316,315,4,12
317,315,4,11
318,316,5,11
318,317,5,11
319,319,6,12
320,319,7,11
321,321,7,12
322,323,8,13
324,324,9,13
325,326,9,13
326,327,10,13
327,329,11,14
328,330,11,15
328,331,10,15
330,332,12,15
331,333,12,14
333,334,13,15
334,336,13,15
335,336,13,13
336,337,12,13
337,338,12,12
338,338,12,11
339,339,12,10
340,339,12,9
342,341,14,10
344,343,14,11
345,344,14,11
347,345,14,11
348,346,14,10
349,346,14,10
351,347,15,10
352,348,15,10
354,349,16,11
355,349,16,10
357,350,17,11
359,351,17,10
361,351,17,8
363,352,18,8
365,352,18,7
366,352,18,6
368,352,19,6
370,353,19,6
371,353,19,5
373,354,19,5
375,354,20,5
377,354,20,4
379,355,20,4
381,355,20,4
384,356,21,4
387,357,22,5
389,358,23,6
391,358,23,6
393,358,23,5
395,359,24,6
398,359,25,5
399,360,24,6
402,360,25,6
404,360,25,5
407,360,26,5
409,361,25,5
410,361,23,4
413,361,24,3
414,361,23,3
416,361,23,3
419,362,24,3
421,362,23,3
423,362,24,2
425,362,23,2
427,362,23,2
429,362,22,2
431,362,22,1
433,362,23,1
435,362,22,1
437,362,23,1
439,362,23,1
441,362,22,0
443,362,22,0
446,362,23,0
448,362,23,0
450,362,23,0
453,362,24,0
455,361,24,-1
458,361,25,-1
461,361,26,-1
463,361,26,-1
465,361,26,-1
468,361,27,-1
470,361,27,-1
472,361,26,-1
474,361,26,-1
476,361,26,-1
478,361,25,-1
479,361,24,0
480,361,22,0
481,361,20,0
482,361,19,0
483,361,18,0
484,361,16,0
485,361,15,0
486,361,14,0
487,361,13,0
488,361,12,0
489,360,11,-1
490,360,11,-1
491,360,11,-1
492,360,11,-1
494,360,12,-1
495,360,12,-1
496,359,12,-2
497,359,12,-2
498,359,12,-2
499,359,12,-2
500,359,12,-2
501,358,12,-2
502,358,12,-2
503,358,12,-2
504,357,12,-3
505,357,11,-3
506,357,11,-3
506,356,10,-3
507,356,10,-3
508,356,10,-3
508,355,9,-4
509,355,9,-4
510,354,9,-4
511,353,9,-5
512,353,9,-5
514,352,10,-5
515,352,10,-5
516,351,10,-6
517,351,11,-5
518,350,11,-6
519,350,11,-6
519,349,11,-6
520,349,11,-6
521,348,11,-6
522,348,11,-5
523,348,11,-5
523,347,9,-5
522,347,7,-5
521,347,5,-4
