242,240,-15,45
240,242,-17,47
239,243,-18,48
239,245,-18,50
238,246,-19,51
238,247,-19,52
237,250,-20,55
235,251,-22,56
234,253,-23,58
233,255,-24,60
233,256,-24,61
231,257,-11,17
231,258,-9,16
230,260,-9,17
229,260,-10,15
228,261,-10,15
228,262,-10,15
227,263,-10,13
226,264,-9,13
225,265,-9,12
224,266,-9,11
223,267,-10,11
222,269,-9,12
221,270,-10,12
220,271,-10,11
219,272,-10,12
217,274,-11,13
217,275,-11,13
216,276,-11,13
215,276,-11,12
215,277,-10,12
214,278,-10,12
213,279,-10,12
212,280,-10,11
211,280,-10,10
210,282,-10,11
209,282,-10,10
208,282,-9,8
207,283,-10,8
207,284,-9,8
206,284,-9,8
204,284,-11,7
203,285,-11,7
201,285,-12,6
200,286,-12,6
198,287,-13,7
197,288,-13,6
196,288,-13,6
194,289,-14,7
193,290,-14,7
192,291,-15,7
191,292,-15,8
190,292,-14,8
189,293,-14,8
188,293,-13,8
186,293,-14,7
185,293,-13,6
184,293,-13,5
183,293,-13,5
182,293,-12,4
181,293,-12,3
180,293,-12,2
178,294,-13,2
177,294,-13,2
175,294,-14,1
174,294,-14,1
173,294,-13,1
171,294,-14,1
170,294,-14,1
169,294,-14,1
167,294,-15,1
166,294,-15,1
165,294,-15,1
163,294,-15,0
162,294,-15,0
160,294,-15,0
158,294,-16,0
157,294,-16,0
155,294,-16,0
153,294,-17,0
152,294,-17,0
150,294,-17,0
149,294,-17,0
147,294,-18,0
146,294,-17,0
145,294,-17,0
144,294,-16,0
142,294,-16,0
141,294,-16,0
140,294,-15,0
139,294,-14,0
138,294,-14,0
136,294,-14,0
135,294,-14,0
134,294,-13,0
133,294,-13,0
131,294,-14,0
129,294,-15,0
128,294,-14,0
126,293,-15,-1
125,293,-15,-1
124,293,-15,-1
123,293,-15,-1
122,293,-14,-1
121,293,-14,-1
120,293,-14,-1
119,293,-14,-1
118,293,-13,-1
117,293,-12,-1
116,293,-12,-1
115,293,-11,0
